Notes,YEAR,FIPS,Newspaper,Corrugated Cardboard,Office,Magazine/Glossy,Paperboard,Mixed Paper,Other Paper,#1 PET Bottles,#2 HDPE Bottles,#3-#7 Bottles,Expanded Polystyrene,Film Plastic,Other Rigid Plastic,Clear Glass,Green Glass,Amber Glass,Other Glass,Steel Cans,Aluminum Cans,Other Ferrous,Other Non-Ferrous,Appliances/White Goods,Yard Waste,Wood,Food Waste,Textiles,Other Organics,Wood (C&D),Drywall,Inerts,Fines/Dirt,Carpet (inc padding),Asphalt Roofing,Other C&D,Vehicle Fluids,Lightbulbs,Pharmaceutical/Medical,Other HHW,Electronics,Batteries,Tires,Bulky Items/Furniture,Other Inorganics,Paper,Plastic,Glass,Metal,Yard Waste (Major),Food,Textiles (Major),Other Organics (Major),Wood (Major),C&D Excluding Wood,HHW,Other
Atlanta Regional Commission - Appendix A,2005,"13057, 13121, 13067, 13097, 13063, 13113, 13135, 13089, 13247, 13151",0.049,0.113,0.035,0.028,0.035,0.034,0.106,0.013,0.011,0.002,0.014,0.075,0.043,0.018,0.005,0.012,0.003,0.013,0.006,0.03,0.006,0,0.024,0.018,0.122,0.037,0.033,0.022,0.005,0.002,0.027,0.018,0,0.008,0,0,0,0.005,0.018,0,0.003,0,0.006,0.4,0.158,0.038,0.055,0.042,0.122,0.037,0.033,0.022,0.06,0.005,0.027
Central Savannah River Area - Appendix B,2005,"13317, 13181, 13265, 13301, 13189, 13073, 13245, 13141, 13303, 13163, 13033, 13165, 13125",0.069,0.085,0.019,0.03,0.054,0.032,0.07,0.016,0.011,0.003,0.02,0.084,0.042,0.022,0.008,0.016,0.005,0.018,0.009,0.014,0.008,0,0.03,0.013,0.14,0.061,0.041,0.013,0.001,0.01,0.027,0.002,0,0.005,0,0,0,0.005,0.01,0,0,0,0.007,0.359,0.176,0.051,0.049,0.043,0.14,0.061,0.041,0.013,0.045,0.005,0.017
Chattahoochee Flint - Appendix C,2005,"13045, 13149, 13285, 13077, 13199",0.05,0.096,0.03,0.03,0.042,0.028,0.124,0.018,0.013,0.001,0.015,0.078,0.035,0.021,0.004,0.016,0.002,0.023,0.012,0.032,0.008,0,0.007,0.008,0.115,0.039,0.038,0.024,0.001,0,0.045,0,0,0.017,0,0,0,0.001,0.012,0,0,0,0.015,0.4,0.16,0.043,0.075,0.015,0.115,0.039,0.038,0.024,0.063,0.001,0.027
Coastal Georgia Composition - Appendix D,2005,"13251, 13031, 13103, 13029, 13051, 13179, 13183, 13191, 13127, 13039",0.045,0.15,0.034,0.023,0.035,0.027,0.077,0.013,0.01,0.002,0.014,0.079,0.042,0.016,0.005,0.013,0.001,0.01,0.008,0.016,0.01,0,0.028,0.022,0.111,0.042,0.057,0.044,0.002,0.002,0.022,0.007,0,0.009,0,0,0,0.002,0.019,0,0,0,0.005,0.391,0.16,0.035,0.044,0.05,0.111,0.042,0.057,0.044,0.042,0.002,0.024
Coosa Valley Composition - Appendix E,2005,"13083, 13295, 13047, 13055, 13115, 13129, 13015, 13233, 13223, 13143",0.062,0.046,0.03,0.029,0.034,0.027,0.119,0.019,0.016,0.003,0.014,0.062,0.05,0.025,0.002,0.015,0.003,0.02,0.01,0.008,0.006,0,0.048,0.01,0.134,0.055,0.064,0.015,0.002,0.004,0.019,0.012,0,0.014,0,0,0,0.003,0.015,0,0,0,0.006,0.347,0.164,0.045,0.044,0.058,0.134,0.055,0.064,0.015,0.051,0.003,0.021
Georgia Mountains - Appendix F,2005,"13291, 13281, 13241, 13187, 13311, 13137, 13257, 13085, 13117, 13139, 13011, 13119, 13105",0.046,0.116,0.04,0.033,0.027,0.027,0.127,0.01,0.009,0.001,0.012,0.078,0.037,0.011,0.005,0.008,0.002,0.01,0.005,0.026,0.004,0,0.029,0.019,0.071,0.026,0.047,0.054,0.009,0.015,0.043,0.008,0,0.014,0,0,0,0.002,0.018,0,0,0,0.012,0.416,0.147,0.026,0.045,0.048,0.071,0.026,0.047,0.054,0.089,0.002,0.03
Heart of Georgia - Altamaha - Appendix G,2005,"13023, 13175, 13167, 13107, 13315, 13091, 13271, 13309, 13209, 13279, 13267, 13109, 13043, 13161, 13001, 13305",0.028,0.063,0.037,0.018,0.031,0.028,0.118,0.014,0.012,0.003,0.015,0.061,0.045,0.013,0.002,0.01,0.006,0.018,0.008,0.024,0.009,0,0.01,0.043,0.123,0.059,0.046,0.018,0,0.014,0.028,0.005,0,0.044,0,0,0,0.003,0.029,0,0.007,0,0.01,0.323,0.15,0.031,0.059,0.053,0.123,0.059,0.046,0.018,0.091,0.003,0.046
Lower Chattahoochee - Appendix H,2005,"13145, 13263, 13215, 13053, 13259, 13239, 13243, 13061",0.044,0.116,0.036,0.021,0.026,0.038,0.105,0.015,0.007,0.002,0.014,0.06,0.043,0.013,0.001,0.012,0.004,0.011,0.007,0.028,0.006,0,0.044,0.012,0.138,0.039,0.034,0.044,0.005,0.005,0.017,0.008,0,0.025,0,0,0,0.002,0.007,0,0,0,0.008,0.386,0.141,0.03,0.052,0.056,0.138,0.039,0.034,0.044,0.06,0.002,0.015
McIntosh Trail - Appendix I,2005,"13293, 13231, 13171, 13255, 13035",0.014,0.101,0.028,0.012,0.032,0.021,0.077,0.011,0.008,0.001,0.014,0.046,0.054,0.015,0.001,0.017,0.007,0.013,0.007,0.043,0.016,0,0.027,0.075,0.087,0.092,0.034,0.01,0,0,0.02,0.024,0,0.017,0,0,0,0.007,0.048,0,0.002,0,0.02,0.285,0.134,0.04,0.079,0.102,0.087,0.092,0.034,0.01,0.061,0.007,0.07
Middle Georgia - Appendix J,2005,"13207, 13079, 13153, 13153, 13235, 13169, 13021, 13289, 13319, 13009, 13237",0.053,0.138,0.024,0.021,0.025,0.011,0.083,0.01,0.008,0.001,0.014,0.078,0.054,0.006,0.002,0.007,0.002,0.009,0.006,0.021,0.018,0,0.05,0.018,0.113,0.034,0.025,0.015,0,0.009,0.033,0.022,0,0.034,0,0,0,0.005,0.046,0,0.003,0,0.004,0.355,0.165,0.017,0.054,0.068,0.113,0.034,0.025,0.015,0.098,0.005,0.053
